frame,arm,activity,depth,cube_size,pushing_power,size_reduction,size_reduction_component,combined_reward
155,6,1.00,495,2,1.00,1.00,0.40,1.00
156,6,2.50,510,2,1.00,1.00,0.40,1.00
157,6,2.50,510,2,1.00,0.00,0.00,0.60
157,6,1.38,509,3,1.00,1.00,0.40,1.00
157,6,1.38,507,4,1.00,2.00,0.80,1.40
157,6,1.38,503,2,1.00,0.00,0.00,0.60
157,6,1.36,495,2,1.00,0.00,0.00,0.60
157,6,1.00,479,2,1.00,0.00,0.00,0.60
157,6,1.00,447,2,1.00,0.00,0.00,0.60
157,6,1.00,383,2,1.00,0.00,0.00,0.60
157,6,1.00,255,2,1.00,0.00,0.00,0.60
139,6,1.00,529,2,1.00,1.00,0.40,1.00
140,6,1.60,529,2,1.00,1.00,0.40,1.00
141,6,1.96,529,2,1.00,1.00,0.40,1.00
142,6,2.18,529,2,1.00,1.00,0.40,1.00
143,6,2.31,529,2,1.00,0.00,0.00,0.60
143,6,1.36,527,2,2.00,0.00,0.00,1.20
144,6,2.38,529,3,1.00,2.00,0.80,1.40
145,6,2.43,529,2,1.00,1.00,0.40,1.00
146,6,2.46,529,2,1.00,0.00,0.00,0.60
146,6,1.29,527,2,2.00,0.00,0.00,1.20
147,6,2.47,529,3,1.00,2.00,0.80,1.40
148,6,2.48,529,2,1.00,0.00,0.00,0.60
148,6,1.47,527,2,2.00,0.00,0.00,1.20
149,6,2.49,529,3,1.00,1.00,0.40,1.00
150,6,2.49,529,3,1.00,1.00,0.40,1.00
150,6,1.53,527,2,2.00,0.00,0.00,1.20
151,6,2.50,529,3,1.00,1.00,0.40,1.00
152,6,2.50,529,3,1.00,1.00,0.40,1.00
152,1,1.55,527,2,2.00,0.00,0.00,1.20
153,1,2.50,529,3,1.00,1.00,0.40,1.00
154,1,2.50,529,3,1.00,0.00,0.00,0.60
154,4,1.56,527,4,2.00,2.00,0.80,2.00
155,4,2.50,529,4,1.00,1.00,0.40,1.00
156,4,2.50,529,4,1.00,1.00,0.40,1.00
156,4,1.56,527,4,2.00,2.00,0.80,2.00
157,4,2.50,529,4,1.00,0.00,0.00,0.60
157,4,2.00,511,1,2.00,0.00,0.00,1.20
157,4,1.00,530,4,1.00,0.00,0.00,0.60
154,4,1.00,534,3,1.00,0.00,0.00,0.60
151,4,1.00,538,3,1.00,0.00,0.00,0.60
148,6,1.00,542,2,1.00,1.00,0.40,1.00
149,6,1.60,542,2,1.00,1.00,0.40,1.00
150,6,1.96,542,2,1.00,0.00,0.00,0.60
150,6,1.60,541,2,2.00,0.00,0.00,1.20
150,6,1.00,543,2,9.00,0.00,0.00,5.40
161,6,1.00,543,8,1.00,6.00,2.40,3.00
163,6,1.36,543,8,1.00,6.00,2.40,3.00
164,6,1.82,543,8,1.00,6.00,2.40,3.00
